TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-06 12:46:57",U-BOLT,LMN504,"Front U-Bolt"
"2017-03-06 12:48:04","STVMS Tracking Top Station",TCS146,"Top Station"
"2017-03-06 12:48:07","STVMS Tracking Top Station",OQA530,"Top Station"
"2017-03-06 12:48:12","STVMS Tracking Top Station",DFZ024,"Top Station"
"2017-03-06 12:48:15","STVMS Tracking Top Station",EQK798,"Top Station"
"2017-03-06 12:48:18","STVMS Tracking Top Station",TGS974,"Top Station"
"2017-03-06 12:48:22","STVMS Tracking Top Station",GDU671,"Top Station"
"2017-03-06 12:48:26","STVMS Tracking Top Station",ELI075,"Top Station"
"2017-03-06 12:48:29","STVMS Tracking Top Station",PEK163,"Top Station"
"2017-03-06 12:48:32","STVMS Tracking Top Station",SYB619,"Top Station"
"2017-03-06 12:48:36","STVMS Tracking Top Station",CXD285,"Top Station"
"2017-03-06 12:48:36","OMT Offline Tracking",EPB160,"Enter Offline"
"2017-03-06 12:48:39","OMT Offline Tracking",XSF309,"Enter Offline"
"2017-03-06 12:48:39","STVMS Tracking Top Station",BEM390,"Top Station"
"2017-03-06 12:48:43","STVMS Tracking Top Station",CVE258,"Top Station"
"2017-03-06 12:48:46","STVMS Tracking Top Station",ETO603,"Top Station"
"2017-03-06 12:48:50","STVMS Tracking Top Station",RCF947,"Top Station"
"2017-03-06 12:48:53","STVMS Tracking Top Station",ALP937,"Top Station"
"2017-03-06 12:50:31","Cab Conveyer",ALP937,"Cab Upload 2"
"2017-03-06 12:50:31","Cab Conveyor / Monorail",ALP937,"Cab Upload"
"2017-03-06 12:50:51","Assembly Line Tracker",ALP937,"Pool 60 Start"
"2017-03-06 12:50:52","Assembly Line Tracker",RCF947,"Pool 60 Start"
"2017-03-06 12:50:53","Assembly Line Tracker",ETO603,"Pool 60 Start"
"2017-03-06 12:50:53","Assembly Line Tracker",CVE258,"Pool 60 Start"
"2017-03-06 12:50:54","Assembly Line Tracker",BEM390,"Pool 60 Start"
"2017-03-06 12:50:55","Assembly Line Tracker",CXD285,"Pool 60 Start"
"2017-03-06 12:50:56","Assembly Line Tracker",SYB619,"Pool 60 Start"
"2017-03-06 12:50:57","Assembly Line Tracker",PEK163,"Pool 60 Start"
"2017-03-06 12:50:58","Assembly Line Tracker",ELI075,"Pool 60 Start"
"2017-03-06 12:50:59","Assembly Line Tracker",GDU671,"Pool 60 Start"
"2017-03-06 12:51:00","Assembly Line Tracker",TGS974,"Pool 60 Start"
"2017-03-06 12:51:00","Assembly Line Tracker",EQK798,"Pool 60 Start"
"2017-03-06 12:51:01","Assembly Line Tracker",DFZ024,"Pool 60 Start"
"2017-03-06 12:51:02","Assembly Line Tracker",OQA530,"Pool 60 Start"
"2017-03-06 12:51:03","Assembly Line Tracker",TCS146,"Pool 60 Start"
"2017-03-06 12:51:34","Cab call scan",TQL981,"A Line"
"2017-03-06 12:52:08","Cab in white conveyer",XFN395,"CIW upload"
"2017-03-06 12:52:42",U-BOLT,TPG078,"Front U-Bolt"
"2017-03-06 12:53:00","Paint Inspection",UHP854,PAINT
"2017-03-06 12:55:41","Cab Call Scan",KQN543,"B Line"
"2017-03-06 12:55:51","OMT Offline Tracking",ITO673,"Enter Offline"
"2017-03-06 12:55:51","OMT Offline Tracking",ITO673,Sold
"2017-03-06 12:56:09","STVMS Tracking Chassis Start",VQD376,"Chassis Start"
"2017-03-06 12:56:12","STVMS Tracking Chassis Start",QJP284,"Chassis Start"
"2017-03-06 12:57:57","Paint Inspection",PRA475,PAINT
"2017-03-06 12:58:43","Cab Conveyer",CSD174,"Cab Upload 2"
"2017-03-06 12:58:43","Cab Conveyor / Monorail",CSD174,"Cab Upload"
"2017-03-06 12:58:46","Hood Conveyor",PGY640,"Hood Upload"
"2017-03-06 12:58:59","Cab in white conveyer",TRL028,"CIW upload"
"2017-03-06 13:00:51","Assembly Line Tracker",VQD376,"Pool 13 Start"
"2017-03-06 13:00:52","Assembly Line Tracker",HQD748,"Pool 13 Start"
"2017-03-06 13:01:15",U-BOLT,XPR275,"Front U-Bolt"
"2017-03-06 13:02:04","STVMS Tracking Top Station",CSD174,"Top Station"
"2017-03-06 13:02:08","STVMS Tracking Top Station",TPD286,"Top Station"
"2017-03-06 13:02:13","STVMS Tracking Top Station",JYI091,"Top Station"
"2017-03-06 13:02:17","STVMS Tracking Top Station",TQL981,"Top Station"
"2017-03-06 13:02:20","STVMS Tracking Top Station",KQN543,"Top Station"
"2017-03-06 13:02:25","STVMS Tracking Top Station",XGW598,"Top Station"
"2017-03-06 13:02:29","STVMS Tracking Top Station",YDL247,"Top Station"
"2017-03-06 13:02:30","Paint Inspection",MGF879,PAINT
"2017-03-06 13:02:34","STVMS Tracking Top Station",CNZ205,"Top Station"
"2017-03-06 13:02:39","STVMS Tracking Top Station",MQH836,"Top Station"
"2017-03-06 13:02:42","STVMS Tracking Top Station",MRI015,"Top Station"
"2017-03-06 13:02:45","STVMS Tracking Top Station",HRY673,"Top Station"
"2017-03-06 13:02:49","STVMS Tracking Top Station",AKC912,"Top Station"
"2017-03-06 13:02:56","STVMS Tracking Top Station",DTP539,"Top Station"
"2017-03-06 13:03:01","STVMS Tracking Top Station",IQS845,"Top Station"
"2017-03-06 13:03:05","STVMS Tracking Top Station",ZYA587,"Top Station"
"2017-03-06 13:03:09","STVMS Tracking Top Station",IBA235,"Top Station"
"2017-03-06 13:03:15","STVMS Tracking Top Station",MBP046,"Top Station"
"2017-03-06 13:03:19","STVMS Tracking Top Station",FHL057,"Top Station"
"2017-03-06 13:03:23","STVMS Tracking Top Station",BRL042,"Top Station"
"2017-03-06 13:03:26","STVMS Tracking Top Station",LMN504,"Top Station"
"2017-03-06 13:03:30","STVMS Tracking Top Station",TPG078,"Top Station"
"2017-03-06 13:03:33","STVMS Tracking Top Station",XPR275,"Top Station"
"2017-03-06 13:03:36","STVMS Tracking Top Station",EUL768,"Top Station"
"2017-03-06 13:03:39","STVMS Tracking Top Station",GYI954,"Top Station"
"2017-03-06 13:03:42","STVMS Tracking Top Station",YTP390,"Top Station"
"2017-03-06 13:03:46","STVMS Tracking Top Station",WXK853,"Top Station"
"2017-03-06 13:03:50","STVMS Tracking Top Station",SOU593,"Top Station"
"2017-03-06 13:03:54","STVMS Tracking Top Station",IXM739,"Top Station"
"2017-03-06 13:03:55","Cab Conveyer",TPD286,"Cab Upload 2"
"2017-03-06 13:03:55","Cab Conveyor / Monorail",TPD286,"Cab Upload"
"2017-03-06 13:03:59","STVMS Tracking Top Station",EJO928,"Top Station"
"2017-03-06 13:04:03","STVMS Tracking Top Station",HMJ710,"Top Station"
"2017-03-06 13:04:06","STVMS Tracking Top Station",MVW427,"Top Station"
"2017-03-06 13:04:10","STVMS Tracking Top Station",AMZ845,"Top Station"
"2017-03-06 13:04:13","STVMS Tracking Top Station",HQD748,"Top Station"
"2017-03-06 13:04:16","STVMS Tracking Top Station",VQD376,"Top Station"
"2017-03-06 13:04:19","STVMS Tracking Top Station",QJP284,"Top Station"
"2017-03-06 13:04:23","STVMS Tracking Top Station",ZHB578,"Top Station"
"2017-03-06 13:04:25","STVMS Tracking Top Station",PGY640,"Top Station"
"2017-03-06 13:04:28","STVMS Tracking Top Station",FIX581,"Top Station"
"2017-03-06 13:04:31","STVMS Tracking Top Station",UHP854,"Top Station"
"2017-03-06 13:04:37","STVMS Tracking Top Station",CSM507,"Top Station"
"2017-03-06 13:04:43","STVMS Tracking Top Station",MGF879,"Top Station"
"2017-03-06 13:04:50","STVMS Tracking Top Station",PRA475,"Top Station"
"2017-03-06 13:04:54","STVMS Tracking Top Station",QFW209,"Top Station"
"2017-03-06 13:04:59","STVMS Tracking Top Station",SZP362,"Top Station"
"2017-03-06 13:05:03","STVMS Tracking Top Station",BIP389,"Top Station"
