TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
2017-03-06 10:31:41.177000,Cab Conveyer,SGN329,Cab Upload 2
2017-03-06 10:31:41.177000,Cab Conveyor / Monorail,SGN329,Cab Upload
2017-03-06 10:32:32.000000,STVMS Tracking Chassis Start,LMN504,Chassis Start
2017-03-06 10:33:55.200000,Cab in white conveyer,CJQ075,CIW upload
2017-03-06 10:33:59.277000,Hood Conveyor,WXK853,Hood Upload
2017-03-06 10:34:45.383735,Paint Inspection,HMJ710,PAINT
2017-03-06 10:35:47.000000,U-BOLT,YDL247,Front U-Bolt
2017-03-06 10:37:51.930000,Cab Conveyer,OQA530,Cab Upload 2
2017-03-06 10:37:51.930000,Cab Conveyor / Monorail,OQA530,Cab Upload
2017-03-06 10:38:15.950000,Cab call scan,GDU671,A Line
2017-03-06 10:38:35.427000,OMT Offline Tracking,MBF976,Enter Offline
2017-03-06 10:39:27.057000,Cab Call Scan,TGS974,B Line
2017-03-06 10:41:32.110000,Cab in white conveyer,LOF143,CIW upload
2017-03-06 10:41:42.842411,Paint Inspection,MVW427,PAINT
2017-03-06 10:44:06.000000,STVMS Tracking Chassis Start,TPG078,Chassis Start
2017-03-06 10:45:00.453000,Hood Conveyor,SOU593,Hood Upload
2017-03-06 10:45:42.000000,U-BOLT,CNZ205,Front U-Bolt
2017-03-06 10:45:51.073000,Assembly Line Tracker,EUL768,Pool 13 Start
2017-03-06 10:45:51.947000,Assembly Line Tracker,XPR275,Pool 13 Start
2017-03-06 10:45:52.707000,OMT Offline Tracking,EGK921,Enter Offline
2017-03-06 10:45:53.173000,Assembly Line Tracker,TPG078,Pool 13 Start
2017-03-06 10:46:13.470000,Cab in white conveyer,CJQ075,CIW upload
2017-03-06 10:46:25.530000,Cab in white conveyer,LOF143,CIW upload
2017-03-06 10:49:39.920000,Cab call scan,PEK163,A Line
2017-03-06 10:52:49.000000,U-BOLT,MQH836,Front U-Bolt
2017-03-06 10:53:31.330000,OMT Offline Tracking,XYI250,Enter Offline
2017-03-06 10:55:50.860000,Assembly Line Tracker,YTP390,Pool 13 Start
2017-03-06 10:55:51.647000,Assembly Line Tracker,GYI954,Pool 13 Start
2017-03-06 10:57:13.000000,STVMS Tracking Chassis Start,XPR275,Chassis Start
2017-03-06 10:58:06.087000,Cab Call Scan,ELI075,B Line
2017-03-06 11:01:21.000000,U-BOLT,MRI015,Front U-Bolt
2017-03-06 11:16:16.177000,Cab Conveyer,EQK798,Cab Upload 2
2017-03-06 11:16:16.177000,Cab Conveyor / Monorail,EQK798,Cab Upload
2017-03-06 11:16:44.230000,Cab in white conveyer,RQJ940,CIW upload
2017-03-06 11:21:39.376573,Paint Inspection,AMZ845,PAINT
2017-03-06 11:22:56.630000,Hood Conveyor,IXM739,Hood Upload
2017-03-06 11:23:12.430000,Cab in white conveyer,JCM567,CIW upload
2017-03-06 11:27:05.693000,Cab Conveyer,DFZ024,Cab Upload 2
2017-03-06 11:27:05.693000,Cab Conveyor / Monorail,DFZ024,Cab Upload
2017-03-06 11:28:20.823000,Cab Conveyer,GDU671,Cab Upload 2
2017-03-06 11:28:20.823000,Cab Conveyor / Monorail,GDU671,Cab Upload
2017-03-06 11:29:27.967000,Cab in white conveyer,GFM783,CIW upload
2017-03-06 11:30:08.957000,Hood Conveyor,EJO928,Hood Upload
2017-03-06 11:30:49.982102,Paint Inspection,HQD748,PAINT
2017-03-06 11:34:14.647000,Cab Conveyer,TGS974,Cab Upload 2
2017-03-06 11:34:14.647000,Cab Conveyor / Monorail,TGS974,Cab Upload
2017-03-06 11:34:42.250000,Cab in white conveyer,EUZ386,CIW upload
2017-03-06 11:35:42.193000,OMT Offline Tracking,JDY852,Enter Offline
2017-03-06 11:36:06.017000,Hood Conveyor,HMJ710,Hood Upload
2017-03-06 11:37:41.923000,Cab call scan,CXD285,A Line
2017-03-06 11:38:41.245523,Paint Inspection,VQD376,PAINT
2017-03-06 11:40:14.940000,Cab in white conveyer,TMZ629,CIW upload
2017-03-06 11:40:19.000000,U-BOLT,HRY673,Front U-Bolt
2017-03-06 11:42:23.237000,OMT Offline Tracking,UYZ958,Enter Offline
2017-03-06 11:43:48.317892,Paint Inspection,ZHB578,PAINT
2017-03-06 11:44:32.000000,STVMS Tracking Chassis Start,EUL768,Chassis Start
2017-03-06 11:44:36.000000,STVMS Tracking Chassis Start,GYI954,Chassis Start
2017-03-06 11:44:40.000000,STVMS Tracking Chassis Start,YTP390,Chassis Start
2017-03-06 11:46:00.000000,U-BOLT,AKC912,Front U-Bolt
2017-03-06 11:46:28.790000,Cab Call Scan,SYB619,B Line
2017-03-06 11:46:50.333000,Hood Conveyor,MVW427,Hood Upload
2017-03-06 11:47:52.970000,OMT Offline Tracking,BHK490,Enter Offline
2017-03-06 11:50:00.000000,STVMS Tracking Chassis Start,WXK853,Chassis Start
2017-03-06 11:50:25.870000,Cab call scan,CVE258,A Line
2017-03-06 11:53:45.723721,Paint Inspection,QJP284,PAINT
